0.87,0.37,0.36,0.33,0.28
0.87,0.39,0.35,0.34,0.33
0.9,0.82,0.8,0.78,0.71,0.55
0.91,0.87,0.77,0.71,0.65,0.6
0.86,0.84,0.81,0.78,0.77,0.56
0.91,0.87,0.84,0.69,0.69,0.61
0.91,0.85,0.84,0.65,0.58,0.52
0.89,0.84,0.83,0.73,0.64,0.48
0.87,0.85,0.84,0.74,0.63,0.46
0.87,0.82,0.8,0.74,0.66,0.42
0.86,0.84,0.79,0.72,0.39,0.39
0.86,0.85,0.78,0.74,0.6,0.41
0.82,0.79,0.77,0.7,0.58,0.51
0.82,0.8,0.78,0.65,0.56,0.49
0.83,0.79,0.78,0.74,0.73,0.6
0.85,0.83,0.77,0.75,0.68,0.54
0.87,0.84,0.81,0.69,0.63,0.61
0.89,0.88,0.87,0.7,0.69,0.6
0.87,0.87,0.85,0.74,0.63,0.61
0.92,0.86,0.82,0.76,0.65,0.58
0.86,0.84,0.84,0.79,0.74,0.64
0.89,0.85,0.84,0.83,0.63,0.58
0.87,0.85,0.84,0.83,0.5,0.5
0.86,0.85,0.84,0.82,0.64,0.5
0.86,0.86,0.85,0.8,0.71,0.5
0.86,0.86,0.86,0.78,0.7,0.51
0.89,0.87,0.81,0.77,0.77,0.54
0.86,0.85,0.83,0.8,0.77,0.53
0.89,0.88,0.82,0.8,0.8,0.48
0.88,0.84,0.82,0.81,0.7,0.45
0.87,0.86,0.81,0.76,0.75,0.6
0.86,0.83,0.82,0.79,0.68,0.49
0.87,0.86,0.82,0.79,0.79,0.6
0.88,0.86,0.83,0.83,0.78,0.67
0.85,0.84,0.84,0.81,0.78,0.62
0.87,0.85,0.79,0.74,0.64,0.61
0.89,0.87,0.83,0.82,0.72,0.54
0.92,0.89,0.86,0.81,0.6,0.53
0.92,0.85,0.82,0.81,0.73,0.67
0.91,0.87,0.85,0.84,0.81,0.69
0.91,0.86,0.85,0.81,0.81,0.76
0.9,0.87,0.86,0.81,0.77,0.66
0.89,0.88,0.86,0.81,0.8,0.73
0.88,0.87,0.86,0.8,0.79,0.72
0.87,0.83,0.82,0.81,0.78,0.63
0.88,0.85,0.82,0.79,0.71,0.69
0.86,0.82,0.82,0.74,0.55,0.55
0.84,0.84,0.81,0.77,0.69,0.55
0.87,0.85,0.8,0.7,0.67,0.67
0.88,0.83,0.81,0.69,0.65,0.63
0.88,0.83,0.82,0.72,0.7,0.66
0.86,0.84,0.82,0.76,0.67,0.64
0.89,0.82,0.77,0.71,0.65,0.63
0.81,0.81,0.79,0.77,0.74,0.68
0.84,0.83,0.79,0.79,0.77,0.67
0.81,0.81,0.81,0.8,0.8,0.63
0.84,0.84,0.84,0.77,0.76,0.62
0.82,0.79,0.78,0.7,0.62,0.61
0.83,0.82,0.81,0.65,0.65,0.63
0.87,0.83,0.8,0.68,0.58,0.57
0.85,0.82,0.81,0.7,0.67,0.54
0.88,0.85,0.71,0.59,0.58,0.57
0.84,0.84,0.83,0.7,0.62,0.61
0.87,0.84,0.83,0.78,0.76,0.69
0.85,0.85,0.84,0.84,0.76,0.69
0.87,0.86,0.83,0.81,0.79,0.68
0.86,0.85,0.84,0.8,0.78,0.64
0.85,0.84,0.82,0.82,0.8,0.7
0.88,0.88,0.86,0.8,0.8,0.65
0.88,0.86,0.84,0.82,0.8,0.74
0.89,0.87,0.84,0.83,0.82,0.68
0.9,0.89,0.87,0.84,0.82,0.52
0.9,0.88,0.86,0.83,0.82,0.54
0.9,0.87,0.86,0.83,0.81,0.47
0.92,0.89,0.86,0.85,0.82,0.57
0.9,0.86,0.85,0.85,0.77,0.56
0.88,0.85,0.84,0.79,0.79,0.64
